n,avg_deg_target,m,cut,flips,passes,time_sec,seed_graph,seed_local,edges_sha256
1600,8.0,6364,4466,661,662,0.3477561609999924,20251137118844,379927250498652403,0545d7b953a31a8fdb965e65d4030915381ea49c4136c473067461715f4a3f5e
1600,8.0,6386,4525,652,653,0.3214039780000064,20251137118845,17826598744807633155,f764df70fc7b637ecdea3163bf3faedcd290abe3e2fc369e2dec93433e73572c
1600,8.0,6379,4534,659,660,0.25549864799999966,20251137118846,12409410711883247589,ac3707207c6ffd9b24c31d5d41a3e5e89e5d78f36df1567622b184eb242288c2
1600,8.0,6391,4501,643,644,0.24854740700000377,20251137118847,7165983993698468458,6372a212bf5dd01547da485ee80bfd574995503f6ed0c336c94e7c9595431a59
1600,8.0,6405,4540,679,680,0.3001712469999944,20251137118848,12125522785786199303,a84690d1cf656f87302856e0012fa09413299503d65bac0d0e9c1ae543438d13
1600,8.0,6319,4469,681,682,0.287627657999991,20251137118849,5883617108821040087,51a6dcfd6065c9569200f03c38543c604218292df0b4ed998b2ede88fe3480c3
1600,8.0,6542,4596,677,678,0.28240212999999414,20251137118850,18110686174794406932,fb56077402e74e9641ddc8cc1f48c841a901bb833a0f88b576cf497584807a5a
1600,8.0,6462,4554,665,666,0.2839164640000007,20251137118851,156920725641849372,022d6cfa9812f89ffdc8d92c86e584d4e269ae0417e625528ccc70105d72feea
1600,8.0,6230,4422,675,676,0.2898774359999976,20251137118852,7187649702069492730,63bfbb39681ec97ea4d29fa0aa8a5f61df26adb4497b4864c3009769e17ac22c
1600,8.0,6404,4520,671,672,0.2702976380000024,20251137118853,6196361165103085867,55fdf7cd742b2baedb11d794ec2f0be3ed394018a6cd30ec91d77487e906ed18
2400,8.0,9614,6821,976,977,0.6327281650000032,20251143454039,2419608515378457012,21943f4b109294e35490c56b28268083478633ae2190ba08935992584e679493
2400,8.0,9655,6820,997,998,0.6721195279999961,20251143454040,9460306734135633527,8349d0b10455db2f01b57d8e019822d358ce868fb173fb64c876d69c92bb2556
2400,8.0,9579,6761,987,988,0.6325665119999968,20251143454041,13541037425906484648,bbeb7fa08b5b38f18c73f9abb294aac32f6007c9f31f806d5098f968fbc520ef
2400,8.0,9571,6847,995,996,0.6743893959999951,20251143454042,16584997747374733420,e629adff92da8536fb56d9a66a5a0a23b554cbc3e703eabc63345fe45fc8eda5
2400,8.0,9733,6881,980,981,0.6492390110000059,20251143454043,11629743940004309069,a1653414028355164ee2d61fef9a21d957adbd0615f64940ce350122b2715b81
2400,8.0,9512,6743,1038,1039,0.7056502700000067,20251143454044,7427629882431515323,67142c6d4f5e17e7d65e47a96683a96f3b2cd10910a43883b945e061fe7aa027
2400,8.0,9500,6723,974,975,0.6872247459999983,20251143454045,2105570729219797681,1d386f0732ad0feceb1287b77c32c4007596494eff7b5ccaa4cddee88abea739
2400,8.0,9735,6849,985,986,0.6406871559999985,20251143454046,5757080583212882932,4fe55022d785e6aae5e51ca13edf5f138d5fe6f3cf9e949a035031bbc214664f
2400,8.0,9688,6843,984,985,0.6634879319999953,20251143454047,3567133306147298423,318112bcbd69e1287962b6af181c343e15825c7fec9d763f90e02ff698422ac7
2400,8.0,9623,6817,1010,1011,0.6951021670000017,20251143454048,3965624468555356487,3708a81a96e0e427b4d8515f798300af3e585c2fb63502db13bc12554f789df1
2400,8.0,9535,6800,983,984,0.680191397999991,20251143454049,5907779481494544728,51fcb4482be4dc39ba9c307f552afd501f6e8443db98d8ac9250ded0be16a779
2400,8.0,9694,6887,992,993,0.6285822859999968,20251143454050,3879735932309681849,35d7852d45950bdb2a3db0bbfc3e0f057a8953861458f6081076cb498f0263d6
2400,8.0,9690,6851,965,966,0.6574245369999971,20251143454051,3159065578374015086,2bd7530ce313950dddfd8a2f95feb631edc83de0d0132176652f27935c237522
2400,8.0,9679,6865,962,963,0.6381942279999748,20251143454052,4758990424145584583,420b46f88e98dca3b53f8a1fbd5073c02495845415e56e82457f9bfb789ecce3
2400,8.0,9641,6860,1051,1052,0.6903782619999959,20251143454053,5971765926824122174,52dfeb1368142a5bf9158a513679b0d54a998714f191a032e6197cd27a9fcdb3
